model_name,PM2.5_MAE,PM2.5_RMSE,PM2.5_R2,PM10_MAE,PM10_RMSE,PM10_R2
Baseline‑LSTM,2.700072288513184,4.47446039452173,0.9722847938537598,4.163942337036133,9.933717019609707,0.9437063336372375
Baseline‑GRU,2.6090118885040283,4.410002929617326,0.9730775952339172,4.299617767333984,10.167878334091856,0.9410211443901062
CNN‑LSTM,3.1134302616119385,4.992179667626387,0.9655001759529114,5.322141647338867,10.74389155518203,0.9341495037078856
Attention‑LSTM,2.7138781547546387,4.756132884845686,0.9686855673789978,4.374958038330078,9.3689486492084,0.949925422668457
